id_stock_summary,date,stock_code,stock_name,remarks,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
4024001,2026-06-03,AADI,Adaro Andalan Indonesia Tbk.,CDMO1SD0F10000A121------------,8325.0,8300.0,8325.0,8425.0,7850.0,8000.0,-325.0,23469400.0,190835972500.0,10333.0,144.1,8025.0,3400.0,8000.0,50500.0,7786891760.0,7786891760.0,1486517637.0,6189700.0,4475400.0,,280.0,2201261.0,4.0
4024002,2026-06-03,AALI,Astra Agro Lestari Tbk.,--MO113E100000D232------------,6825.0,6800.0,6825.0,6825.0,6525.0,6650.0,-175.0,4212500.0,28092305000.0,3558.0,540.2,6675.0,100.0,6650.0,96500.0,1924688333.0,1924688333.0,390711732.0,3581300.0,1990600.0,,0.0,0.0,0.0
4024003,2026-06-03,ABBA,Mahaka Media Tbk.,--U-4100000000E614-E---------X,37.0,0.0,0.0,37.0,37.0,37.0,0.0,102900.0,3807300.0,38.0,81.7,37.0,362700.0,36.0,1100.0,3935892857.0,3935892857.0,1298844643.0,0.0,0.0,,0.0,0.0,0.0
4024004,2026-06-03,ABDA,Asuransi Bina Dana Arta Tbk.,--UO2105000000G412------------,3500.0,0.0,0.0,3400.0,3070.0,3120.0,-380.0,8000.0,25380000.0,27.0,712.3,3390.0,100.0,3110.0,100.0,620806680.0,620806680.0,81325675.0,1500.0,0.0,,0.0,0.0,0.0
4024005,2026-06-03,ABMM,ABM Investama Tbk.,XDMO1135000000A121------------,2390.0,2410.0,2410.0,2420.0,2260.0,2320.0,-70.0,1129000.0,2607420000.0,885.0,61.9,2320.0,5500.0,2310.0,100.0,2753165000.0,2753165000.0,413800700.0,411500.0,76500.0,,0.0,0.0,0.0
4024006,2026-06-03,ACES,Aspirasi Hidup Indonesia Tbk.,--MO1835UK6000E743------------,348.0,352.0,352.0,352.0,340.0,348.0,0.0,40116300.0,13825167600.0,4267.0,424.4,350.0,425700.0,348.0,851200.0,17120389700.0,17120389700.0,6846443841.0,8150000.0,14953500.0,,0.0,0.0,0.0
4024007,2026-06-03,ACRO,Samcro Hyosung Adilestari Tbk.,--UO2100000000E413------------,65.0,64.0,65.0,67.0,56.0,60.0,-5.0,3860700.0,236790400.0,657.0,55.6,60.0,272900.0,59.0,87800.0,3469345537.0,749273042.0,729950301.0,3000.0,0.0,,0.0,0.0,0.0
4024008,2026-06-03,ACST,Acset Indonusa Tbk.,--U-4105000000J211-E---------X,83.0,0.0,0.0,82.0,78.0,79.0,-4.0,939100.0,75749200.0,76.0,5.8,80.0,15100.0,79.0,34400.0,17675160000.0,17675160000.0,1560716628.0,0.0,0.0,,0.0,0.0,0.0
4024009,2026-06-03,ADCP,Adhi Commuter Properti Tbk.,--UO2135000000H111M-----------,50.0,50.0,50.0,50.0,50.0,50.0,0.0,22500.0,1125000.0,55.0,38.5,50.0,67805500.0,0.0,0.0,22222222200.0,22222222200.0,2222222220.0,0.0,0.0,,0.0,0.0,0.0
4024010,2026-06-03,ADES,Akasha Wira International Tbk.,--UO1135000000D212------------,22225.0,22225.0,22300.0,22400.0,21000.0,21950.0,-275.0,100700.0,2173077500.0,191.0,1140.3,21950.0,700.0,21600.0,300.0,589896800.0,589896800.0,50318197.0,6000.0,5100.0,,0.0,0.0,0.0
4024011,2026-06-03,ADHI,Adhi Karya (Persero) Tbk.,--MO1105300000J211------------,166.0,168.0,168.0,168.0,154.0,156.0,-10.0,8490100.0,1342271500.0,1412.0,134.2,157.0,124500.0,156.0,93800.0,8407608979.0,8407608979.0,2995631079.0,1517400.0,1253700.0,,0.0,0.0,0.0
4024012,2026-06-03,ADMF,Adira Dinamika Multi Finance Tbk.,--UO2105000000G211------------,8325.0,0.0,0.0,8325.0,8150.0,8225.0,-100.0,118000.0,971260000.0,224.0,353.8,8225.0,10000.0,8200.0,10700.0,1235803109.0,1235803109.0,67227689.0,10400.0,31200.0,,0.0,0.0,0.0
4024013,2026-06-03,ADMG,Polychem Indonesia Tbk,--UO2130000000B111------------,214.0,214.0,204.0,216.0,200.0,212.0,-2.0,533300.0,109477400.0,175.0,18.9,212.0,117700.0,204.0,25700.0,3889179559.0,3889179559.0,520372225.0,44400.0,159700.0,,0.0,0.0,0.0
4024014,2026-06-03,ADMR,Alamtri Minerals Indonesia Tbk.,--MO1SD3F33000A121------------,1450.0,1450.0,1455.0,1475.0,1290.0,1305.0,-145.0,56728300.0,76133758000.0,10756.0,1305.0,1305.0,713400.0,1300.0,723700.0,40882331500.0,40882331500.0,4725997521.0,12573000.0,29151300.0,,104.0,136170.0,2.0
4024015,2026-06-03,ADRO,Alamtri Resources Indonesia Tbk.,--MO1XD3Q63200A121------------,2280.0,2280.0,2280.0,2290.0,2110.0,2180.0,-100.0,111003900.0,242990717000.0,26539.0,198.2,2190.0,2600.0,2180.0,583600.0,29389689400.0,29389689400.0,8426023951.0,35462000.0,82712400.0,,56.0,121576.0,2.0
4024016,2026-06-03,AEGS,Anugerah Spareparts Sejahtera Tbk.,--U-3000000000E111------------,46.0,0.0,0.0,47.0,42.0,42.0,-4.0,3975200.0,171809700.0,216.0,42.0,43.0,1268700.0,42.0,681800.0,1006080721.0,1006080721.0,0.0,0.0,0.0,,0.0,0.0,0.0
4024017,2026-06-03,AGAR,Asia Sejahtera Mina Tbk.,--UO2130000000D231------------,230.0,234.0,234.0,234.0,196.0,212.0,-18.0,291000.0,61239800.0,152.0,192.7,212.0,8600.0,204.0,500.0,1000000000.0,1000000000.0,250100000.0,0.0,0.0,,0.0,0.0,0.0
4024018,2026-06-03,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2810.0,2810.0,2810.0,2910.0,2560.0,2800.0,-10.0,852900.0,2355100000.0,652.0,254.5,2860.0,1700.0,2790.0,30900.0,3066660000.0,3066660000.0,231532830.0,175200.0,72400.0,,0.0,0.0,0.0
4024019,2026-06-03,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,164.0,165.0,164.0,165.0,153.0,154.0,-10.0,13535700.0,2119828300.0,1154.0,256.6,155.0,15700.0,154.0,242300.0,24493093216.0,24493093216.0,3176754190.0,2838400.0,835100.0,,4000.0,620000.0,1.0
4024020,2026-06-03,AGRS,Bank IBK Indonesia Tbk.,--UO2105000000G111------------,64.0,65.0,65.0,65.0,61.0,63.0,-1.0,2797100.0,177340500.0,206.0,81.5,63.0,183100.0,62.0,59600.0,47367057874.0,47367057874.0,3576212869.0,0.0,0.0,,0.0,0.0,0.0
4024021,2026-06-03,AHAP,Asuransi Harta Aman Pratama Tbk.,--UO2100000000G412------------,89.0,91.0,90.0,91.0,76.0,79.0,-10.0,23169000.0,1882391600.0,1072.0,379.4,79.0,67000.0,78.0,639600.0,4900000000.0,4900000000.0,1251460000.0,3512900.0,2074700.0,,0.0,0.0,0.0
